company_sort_id,management_name,management_title,management_department,director_type,management_url
164,Ana Luiza Vieira Franco Forattini,"General Counsel & Chief Sustainability, Compliance and Ombudsman Officer",Management,/,/
164,Lucas de Souza Bernardes,Chief Information and Data Security Officer,Technology,/,/
164,Janderson de Miranda Facchin,Chief Controllership Officer,Product,/,/
164,Rafaela de Oliveira Vitória,Chief Controllership Officer,Product,/,/
164,Tiago de Almeida Machado,Chief Digital Products Officer,Product,/,/
164,Mauro Franca Rangel,Chief Credit and Collection Officer,Management,/,/
164,Sebastiào Luiz da Silva,Chief Commercial Officer,Finance,/,/
164,Frederico Corréa Ferreira de Melo,Chief Commercial Officer,Finance,/,/
164,Flávio Ramos Queijo,Chief Real Estate and Payroll Officer,Finance,/,/
164,Thais Leite Lemos,Chief People and Culture Officer,Human Resource,/,/
164,André Guilherme Henriques Caram,Chief Institutional Investments and Win Officer,Management,/,/
164,Leonardo Paixǎo Goncalves de Souza,Chief Treasury Officer,Finance,/,/
164,Eduardo Valladares Cotta,Operations Officer,Management,/,/
164,Pierre Carvalho Magalhaes,Chief of Internal Audit Officer,Finance,/,/
165,Guilherme Stocco Filho,Board Member,Director,Executive Director,/
166,Marciano Testa,Executive Chairman,Director,Executive Director,https://ri.agibank.com.br/wp-content/uploads/sites/722/2022/09/Marciano-Testa_Credito-CecattoPhoto1-e1663691953692.png
166,Ademir Cossiello,Independent Member of the Board of Directors,Director,Independent Non - Executive Director,https://ri.agibank.com.br/wp-content/uploads/sites/722/2022/09/Ademir-Cossielo-e1663691980755.jpg
166,Aod Cunha,Independent Member of the Board of Directors,Director,Independent Non - Executive Director,https://ri.agibank.com.br/wp-content/uploads/sites/722/2022/09/Aod-Cunha-e1663692001589.jpg
166,Gabriel Felzenszwalb,Member of the Board of Directors,Director,Executive Director,https://ri.agibank.com.br/wp-content/uploads/sites/722/2022/09/conselho-1-scaled-e1663694966482.jpg
166,Rose Rios,Member of the Board of Directors (Advisory),Director,Executive Director,https://ri.agibank.com.br/wp-content/uploads/sites/722/2022/09/Rose-Rios.jpeg
166,Alan De Genaro,Member of the Board of Directors (Advisory),Director,Executive Director,https://ri.agibank.com.br/wp-content/uploads/sites/722/2023/07/Foto-bio-Alan-1-e1689276745202.jpg
166,Glauber Marques Correa,CEO,Management,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/05/Glauber.png
166,Marcello Dubeux,Chief Financial and Investor Relations Officer,Finance,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/07/Macello.png
166,Lucas Aguiar,Chief People and Governance Officer,Human Resource,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/05/Lucas.png
166,Vinicius Aloe,Chief Technology Officer,Technology,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/05/Vinicius.png
166,Matheus Girardi,Chief Sales Officer,Product,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/05/Girardi.png
166,Daniel Pires,"Chief Data, Credit & Risk Officer",Technology,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/05/Pires.png
166,Daniel Farias,Chief Products Officer,Product,/,https://ri.agibank.com.br/wp-content/uploads/sites/722/2024/05/Farias.png
167,Vlad Tenev,Chief Executive Officer & Co-founder,Director,Executive Director,https://s28.q4cdn.com/948876185/files/images/leadership/2023/12/Vlad2_Transparent_6Wdj8ROrL.png
167,Baiju Bhatt,Member of the Board of Directors (Advisory),Director,Executive Director,https://s28.q4cdn.com/948876185/files/images/leadership/2023/RH_Baiju_Edited.jpeg
167,Paula Loop,Member of the Board of Directors (Advisory),Director,Executive Director,https://s28.q4cdn.com/948876185/files/images/board/Loop.jpg
167,Meyer Malka,Member of the Board of Directors (Advisory),Director,Executive Director,https://s28.q4cdn.com/948876185/files/images/board/unnamed.jpeg
167,Jonathan Rubinstein,Member of the Board of Directors (Advisory),Director,Non - Executive Director,https://s28.q4cdn.com/948876185/files/images/board/Rubinstein-1.jpg
167,Susan Segal,Member of the Board of Directors (Advisory),Director,Executive Director,https://s28.q4cdn.com/948876185/files/doc_person/2024/Mar/susanSegal_9MG95FLm3.png
167,Dara Treseder,Member of the Board of Directors (Advisory),Director,Executive Director,https://s28.q4cdn.com/948876185/files/images/board/Dara.png
167,Robert Zoellick,Member of the Board of Directors (Advisory),Director,Executive Director,https://s28.q4cdn.com/948876185/files/images/board/Zoellick.jpg
167,Mayank Agarwal,"Vice President, Engineering",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Mayank-Agarwal.png
167,Pooja Anand,"Vice President, Enterprise Risk Management & Internal Audit",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/2023/12/Pooja_Transparent_MtY6J615A.png
167,Norm Ashkenas,Vice President & Chief Compliance Officer,Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Norm-Ashkenas.png
167,Siddharth Batra,"Senior Director, Robinhood Money",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/2023/12/Siddarth_Transparent_C9GcRc_HC.png
167,Matt Billings,"Vice President, Brokerage & President, Robinhood Financial & Robinhood Securities",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Matt-Billings.png
167,Erika Dean,Chief Security Officer,Technology,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Erika-Dean.png
167,Dan Gallagher,"Chief Legal, Compliance and Corporate",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Dan-Gallagher.png
167,Michael Goodbody,"Vice President, Marketing and Communications",Management,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Michael-Goodbody.png
167,Annie Herlitz,"Vice President, Finance",Finance,/,https://s28.q4cdn.com/948876185/files/images/leadership/2023/12/Annie_Transparent_l5cRwebvH.png
167,Dheerja Kaur,"Senior Director, Core Product",Product,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Dheerja-Kaur.png
167,Johann Kerbrat,"Vice President & General Manager, Crypto",Finance,/,https://s28.q4cdn.com/948876185/files/images/leadership/resized/Johann-Kerbrat.png
167,Chris Koegel,"Vice President, Corporate Finance & Investor Relations",Finance,/,https://s28.q4cdn.com/948876185/files/doc_person/2024/Aug/Chris_2pnhMv9hA.jpg
